schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,claim_split_requests,Original claimers can update split requests,PERMISSIVE,{public},UPDATE,(original_claimer_id = ( SELECT auth.uid() AS uid)),null
public,claim_split_requests,Requesters can delete their pending requests,PERMISSIVE,{public},DELETE,((requester_id = ( SELECT auth.uid() AS uid)) AND (status = 'pending'::text)),null
public,claim_split_requests,Users can create split requests,PERMISSIVE,{public},INSERT,null,(requester_id = ( SELECT auth.uid() AS uid))
public,claim_split_requests,Users can view their split requests,PERMISSIVE,{public},SELECT,((requester_id = ( SELECT auth.uid() AS uid)) OR (original_claimer_id = ( SELECT auth.uid() AS uid))),null
public,claims,admins can delete any claims,PERMISSIVE,{public},DELETE,"is_event_admin(event_id_for_item(item_id), ( SELECT auth.uid() AS uid))",null
public,claims,claims_delete_admins,RESTRICTIVE,{authenticated},DELETE,is_event_admin(event_id_for_item(item_id)),null
public,claims,claims_select_visible,PERMISSIVE,{public},SELECT,"can_view_list(list_id_for_item(item_id), ( SELECT auth.uid() AS uid))",null
public,claims,claims_update_by_claimer,PERMISSIVE,{public},UPDATE,(( SELECT auth.uid() AS uid) = claimer_id),(( SELECT auth.uid() AS uid) = claimer_id)
public,claims,claims_update_own,PERMISSIVE,{public},UPDATE,(( SELECT auth.uid() AS uid) = claimer_id),(( SELECT auth.uid() AS uid) = claimer_id)
public,claims,delete own claims,PERMISSIVE,{public},DELETE,(claimer_id = ( SELECT auth.uid() AS uid)),null
public,daily_activity_log,No public access to activity log,PERMISSIVE,{public},ALL,false,null
public,event_invites,event_invites_delete,PERMISSIVE,{public},DELETE,"((( SELECT auth.uid() AS uid) = inviter_id) OR (EXISTS ( SELECT 1
   FROM event_members em
  WHERE ((em.event_id = event_invites.event_id) AND (em.user_id = ( SELECT auth.uid() AS uid)) AND (em.role = 'admin'::member_role)))))",null
public,event_invites,event_invites_insert,PERMISSIVE,{public},INSERT,null,"((( SELECT auth.uid() AS uid) = inviter_id) AND (EXISTS ( SELECT 1
   FROM event_members em
  WHERE ((em.event_id = event_invites.event_id) AND (em.user_id = ( SELECT auth.uid() AS uid))))))"
public,event_invites,event_invites_select,PERMISSIVE,{public},SELECT,"((( SELECT auth.uid() AS uid) = inviter_id) OR (( SELECT auth.uid() AS uid) = invitee_id) OR (EXISTS ( SELECT 1
   FROM event_members em
  WHERE ((em.event_id = event_invites.event_id) AND (em.user_id = ( SELECT auth.uid() AS uid))))))",null
public,event_invites,event_invites_update,PERMISSIVE,{public},UPDATE,(( SELECT auth.uid() AS uid) = invitee_id),null
public,event_member_stats,event_member_stats_no_delete,PERMISSIVE,{public},DELETE,false,null
public,event_member_stats,event_member_stats_no_insert,PERMISSIVE,{public},INSERT,null,false
