function_name,arguments,config
_test_admin_for_event_title,p_title text,search_path=public
_test_any_member_for_event_title,p_title text,search_path=public
_test_create_list_for_event,"p_event_id uuid, p_name text, p_vis list_visibility",search_path=public
accept_claim_split,p_request_id uuid,search_path=public
accept_event_invite,p_invite_id uuid,"search_path="""""
add_list_recipient,"p_list_id uuid, p_recipient_email text","search_path="""""
assign_items_randomly,p_list_id uuid,search_path=public
backfill_event_member_stats,,search_path=public
can_create_event,p_user uuid,search_path=public
can_join_event,p_user uuid,search_path=public
can_view_list,"uuid, uuid",search_path=public
can_view_list,p_list uuid,search_path=public
check_and_queue_purchase_reminders,,"search_path="""""
check_rate_limit,"p_action text, p_max_requests integer DEFAULT 100, p_window_seconds integer DEFAULT 60",search_path=public
claim_counts_for_lists,p_list_ids uuid[],search_path=public
claim_item,p_item_id uuid,search_path=public
cleanup_old_activity_logs,,search_path=public
cleanup_old_invites,,"search_path="""""
cleanup_old_notifications,,"search_path="""""
cleanup_old_reminders,,"search_path="""""
cleanup_orphaned_lists,,search_path=public
cleanup_rate_limit_tracking,,search_path=public
cleanup_reminder_on_purchase,,"search_path="""""
create_event_and_admin,"p_title text, p_event_date date, p_recurrence text, p_description text",search_path=public
create_event_and_admin,"p_title text, p_event_date date, p_recurrence text, p_description text, p_admin_only_invites boolean DEFAULT false, p_admin_emails text[] DEFAULT ARRAY[]::text[]",search_path=public
create_event_and_admin,"p_title text, p_event_date date, p_recurrence text, p_description text, p_admin_only_invites boolean DEFAULT false",search_path=public
create_list_with_people,"p_event_id uuid, p_name text, p_visibility list_visibility DEFAULT 'event'::list_visibility, p_recipients uuid[] DEFAULT '{}'::uuid[], p_hidden_recipients uuid[] DEFAULT '{}'::uuid[], p_viewers uuid[] DEFAULT '{}'::uuid[], p_custom_recipient_name text DEFAULT NULL::text","search_path="""""
create_list_with_people,"p_event_id uuid, p_name text, p_visibility list_visibility DEFAULT 'event'::list_visibility, p_recipients uuid[] DEFAULT '{}'::uuid[]","search_path="""""
create_list_with_people,"p_event_id uuid, p_name text, p_visibility list_visibility DEFAULT 'event'::list_visibility, p_recipients uuid[] DEFAULT '{}'::uuid[], p_viewers uuid[] DEFAULT '{}'::uuid[]","search_path="""""
create_list_with_people,"p_event_id uuid, p_name text, p_visibility list_visibility DEFAULT 'event'::list_visibility, p_recipients uuid[] DEFAULT '{}'::uuid[], p_hidden_recipients uuid[] DEFAULT '{}'::uuid[], p_viewers uuid[] DEFAULT '{}'::uuid[]","search_path="""""
create_list_with_people,"p_event_id uuid, p_name text, p_visibility list_visibility DEFAULT 'event'::list_visibility, p_recipients uuid[] DEFAULT '{}'::uuid[], p_hidden_recipients uuid[] DEFAULT '{}'::uuid[], p_viewers uuid[] DEFAULT '{}'::uuid[], p_custom_recipient_name text DEFAULT NULL::text, p_random_assignment_enabled boolean DEFAULT false, p_random_assignment_mode text DEFAULT NULL::text","search_path="""""
create_list_with_people,"p_event_id uuid, p_name text, p_visibility list_visibility DEFAULT 'event'::list_visibility, p_recipients uuid[] DEFAULT '{}'::uuid[], p_hidden_recipients uuid[] DEFAULT '{}'::uuid[], p_viewers uuid[] DEFAULT '{}'::uuid[], p_custom_recipient_name text DEFAULT NULL::text, p_random_assignment_enabled boolean DEFAULT false, p_random_assignment_mode text DEFAULT NULL::text, p_random_receiver_assignment_enabled boolean DEFAULT false, p_for_everyone boolean DEFAULT false","search_path="""""
create_list_with_people,"p_event_id uuid, p_name text, p_visibility text, p_custom_recipient_name text, p_recipient_user_ids uuid[], p_recipient_emails text[], p_viewer_ids uuid[], p_exclusion_ids uuid[]","search_path="""""
decline_event_invite,p_invite_id uuid,"search_path="""""
delete_item,p_item_id uuid,search_path=public
delete_list,p_list_id uuid,search_path=public
deny_claim_split,p_request_id uuid,search_path=public
ensure_event_owner_member,,search_path=public
event_claim_counts_for_user,p_event_ids uuid[],search_path=public
event_id_for_item,i_id uuid,search_path=public
event_id_for_list,uuid,search_path=public
