table_name,column_name,data_type,is_nullable,column_default
claim_split_requests,id,uuid,NO,gen_random_uuid()
claim_split_requests,item_id,uuid,NO,null
claim_split_requests,requester_id,uuid,NO,null
claim_split_requests,original_claimer_id,uuid,NO,null
claim_split_requests,status,text,NO,'pending'::text
claim_split_requests,created_at,timestamp with time zone,YES,now()
claim_split_requests,responded_at,timestamp with time zone,YES,null
claims,id,uuid,NO,gen_random_uuid()
claims,item_id,uuid,NO,null
claims,claimer_id,uuid,NO,null
claims,quantity,integer,NO,1
claims,note,text,YES,null
claims,created_at,timestamp with time zone,YES,now()
claims,purchased,boolean,NO,false
claims,assigned_to,uuid,YES,null
daily_activity_log,id,uuid,NO,gen_random_uuid()
daily_activity_log,user_id,uuid,NO,null
daily_activity_log,event_id,uuid,NO,null
daily_activity_log,activity_type,text,NO,null
daily_activity_log,activity_data,jsonb,NO,null
daily_activity_log,created_at,timestamp with time zone,YES,now()
event_invites,id,uuid,NO,gen_random_uuid()
event_invites,event_id,uuid,NO,null
event_invites,inviter_id,uuid,NO,null
event_invites,invitee_email,text,NO,null
event_invites,invitee_id,uuid,YES,null
event_invites,status,text,NO,'pending'::text
event_invites,invited_at,timestamp with time zone,YES,now()
event_invites,responded_at,timestamp with time zone,YES,null
event_invites,invited_role,USER-DEFINED,NO,'giver'::member_role
event_member_stats,event_id,uuid,NO,null
event_member_stats,user_id,uuid,NO,null
event_member_stats,total_claims,bigint,NO,0
event_member_stats,unpurchased_claims,bigint,NO,0
event_member_stats,updated_at,timestamp with time zone,NO,now()
event_members,event_id,uuid,NO,null
event_members,user_id,uuid,NO,null
event_members,role,USER-DEFINED,NO,'giver'::member_role
event_members,created_at,timestamp with time zone,YES,now()
events,id,uuid,NO,gen_random_uuid()
events,title,text,NO,null
events,description,text,YES,null
events,event_date,date,YES,null
events,join_code,text,NO,"replace((gen_random_uuid())::text, '-'::text, ''::text)"
events,owner_id,uuid,NO,null
events,created_at,timestamp with time zone,YES,now()
events,recurrence,text,NO,'none'::text
events,last_rolled_at,date,YES,null
events,admin_only_invites,boolean,NO,false
items,id,uuid,NO,gen_random_uuid()
items,list_id,uuid,NO,null
items,name,text,NO,null
items,url,text,YES,null
items,price,numeric,YES,null
items,notes,text,YES,null
items,created_by,uuid,NO,null
items,created_at,timestamp with time zone,YES,now()
items,assigned_recipient_id,uuid,YES,null
list_exclusions,list_id,uuid,NO,null
list_exclusions,user_id,uuid,NO,null
list_exclusions,created_at,timestamp with time zone,NO,now()
list_recipients,list_id,uuid,NO,null
list_recipients,user_id,uuid,YES,null
list_recipients,can_view,boolean,NO,true
list_recipients,recipient_email,text,YES,null
list_recipients,id,uuid,NO,gen_random_uuid()
list_viewers,list_id,uuid,NO,null
